awarderName,awardedName,awardedImage,challengeID,awarderID,awardName,awardImage,awardID,awardedID
bspurgeon,bvy,962721,1424,54645,silver sturgeon ,http://images.dpchallenge.com/images_portfolio/50000-54999/54645/120/Copyrighted_Image_Reuse_Prohibited_963227.jpg,silver sturgeon ,76335
bspurgeon,bwo,962140,1420,54645,silver sturgeon ,http://images.dpchallenge.com/images_portfolio/50000-54999/54645/120/Copyrighted_Image_Reuse_Prohibited_963227.jpg,silver sturgeon ,134665
bspurgeon,pixelpig,961130,1420,54645,silver sturgeon ,http://images.dpchallenge.com/images_portfolio/50000-54999/54645/120/Copyrighted_Image_Reuse_Prohibited_963227.jpg,silver sturgeon ,63218
bspurgeon,markwiley,962080,1420,54645,silver sturgeon ,http://images.dpchallenge.com/images_portfolio/50000-54999/54645/120/Copyrighted_Image_Reuse_Prohibited_963227.jpg,silver sturgeon ,19825
posthumous,jmritz,972354,1454,50695,red,http://blackyak.com/dpc/redpost.jpg,red,11769
bspurgeon,clive_patric_nolan,961191,1420,54645,silver sturgeon ,http://images.dpchallenge.com/images_portfolio/50000-54999/54645/120/Copyrighted_Image_Reuse_Prohibited_963227.jpg,silver sturgeon ,102278
bspurgeon,ivki,962198,1420,54645,silver sturgeon ,http://images.dpchallenge.com/images_portfolio/50000-54999/54645/120/Copyrighted_Image_Reuse_Prohibited_963227.jpg,silver sturgeon ,119443
bspurgeon,lobrin,962108,1420,54645,silver sturgeon ,http://images.dpchallenge.com/images_portfolio/50000-54999/54645/120/Copyrighted_Image_Reuse_Prohibited_963227.jpg,silver sturgeon ,127081
posthumous,njsabs,973441,1454,50695,blue,http://blackyak.com/dpc/bluepost.jpg,blue,69668
posthumous,daisydavid,973382,1454,50695,red,http://blackyak.com/dpc/redpost.jpg,red,119419
posthumous,mariuca,973503,1454,50695,gallery,http://blackyak.com/dpc/artpost.jpg,gallery,124815
bspurgeon,jmritz,961667,1421,54645,silver sturgeon ,http://images.dpchallenge.com/images_portfolio/50000-54999/54645/120/Copyrighted_Image_Reuse_Prohibited_963227.jpg,silver sturgeon ,11769
bspurgeon,bvy,962462,1421,54645,silver sturgeon ,http://images.dpchallenge.com/images_portfolio/50000-54999/54645/120/Copyrighted_Image_Reuse_Prohibited_963227.jpg,silver sturgeon ,76335
posthumous,smardaz,974554,1456,50695,gallery,http://blackyak.com/dpc/artpost.jpg,gallery,69325
posthumous,xion,974390,1456,50695,gallery,http://blackyak.com/dpc/artpost.jpg,gallery,21714
bspurgeon,PennyStreet,962777,1421,54645,silver sturgeon ,http://images.dpchallenge.com/images_portfolio/50000-54999/54645/120/Copyrighted_Image_Reuse_Prohibited_963227.jpg,silver sturgeon ,100831
bspurgeon,Cinnabear,962071,1421,54645,silver sturgeon ,http://images.dpchallenge.com/images_portfolio/50000-54999/54645/120/Copyrighted_Image_Reuse_Prohibited_963227.jpg,silver sturgeon ,132996
bspurgeon,Melethia,961914,1420,54645,silver sturgeon ,http://images.dpchallenge.com/images_portfolio/50000-54999/54645/120/Copyrighted_Image_Reuse_Prohibited_963227.jpg,silver sturgeon ,30982
posthumous,Jon_H,975388,1458,50695,gallery,http://blackyak.com/dpc/artpost.jpg,gallery,120171
posthumous,nightpixels,974793,1458,50695,gallery,http://blackyak.com/dpc/artpost.jpg,gallery,112972
posthumous,Melethia,972878,1453,50695,gallery,http://blackyak.com/dpc/artpost.jpg,gallery,30982
paulbtlw,clive_patric_nolan,906389,1250,100393,unconventional eye,http://images.dpchallenge.com/images_portfolio/100000-104999/100393/120/Copyrighted_Image_Reuse_Prohibited_859062.jpg,unconventional eye,102278
posthumous,LoVi,975572,1458,50695,gallery,http://blackyak.com/dpc/artpost.jpg,gallery,124190
posthumous,njsabs,974206,1458,50695,gallery,http://blackyak.com/dpc/artpost.jpg,gallery,69668
